YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1987,2,10241,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10242,1,2,2,2,1,1,3,4,2,3,1983,2,2
1987,2,10242,1,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10243,1,2,2,1,1,1,3,4,2,3,1978,2,2
1987,1,10244,1,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10245,1,2,2,2,1,1,3,4,2,3,1980,2,2
1987,1,10246,2,2,2,2,1,1,3,4,1,3,1983,2,2
1987,2,10246,1,4,7,2,2,2,3,4,1,3,1986,2,2
1987,1,10247,5,1,1,1,2,2,3,4,2,3,1982,2,2
1987,1,10248,3,2,2,2,1,1,3,4,2,3,1985,2,2
1987,2,10248,2,3,3,1,1,1,3,4,1,3,1985,2,2
1987,1,10249,1,5,5,2,1,1,3,4,2,3,1984,2,2
1987,2,10249,1,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10250,1,1,1,1,2,2,3,4,1,3,1975,2,2
1987,1,10251,1,2,2,1,1,1,3,4,2,3,1983,2,2
1987,1,10252,2,2,2,1,2,2,3,4,2,3,1979,2,2
1987,1,10253,2,1,1,1,1,1,3,4,1,3,1986,2,2
1987,1,10254,2,2,2,2,1,1,3,4,2,3,1973,2,2
1987,1,10255,1,2,2,1,1,1,3,4,1,3,1972,2,2
1987,1,10256,6,2,2,1,1,1,3,4,2,3,1969,2,2
1987,2,10256,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,3,10256,1,2,2,2,1,1,3,4,2,3,1983,2,2
1987,1,10257,2,2,2,2,1,1,3,4,2,3,1978,2,2
1987,2,10257,1,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10258,6,2,2,2,1,1,3,4,2,3,1981,2,2
1987,2,10258,1,2,2,2,1,1,3,4,2,3,1964,2,2
